N,50,nodes,1,AVG Computation,AVG Total,AVG Total - AVG Computation,,,Matrix size,Nodes,AVG Computation Time,AVG Total Time,AVG Total - AVG Computation Time,Matrix size and Nodes
Computation duration:,6092560000,ns,,,,,,,,,,,,
Total duration:,15879300000,ns,,,,,,,,,,,,
N,1000,nodes,4,,,,,,,,,,,
Computation duration:,3088500000,ns,,3099597000,21559850000,18460253000,,,,,,,,
Total duration:,22289700000,ns,,,,,,,,,,,,
Computation duration:,3523010000,ns,,,,,,,,,,,,
Total duration:,22759500000,ns,,,,,,,,,,,,
Computation duration:,3011090000,ns,,,,,,,,,,,,
Total duration:,23634400000,ns,,,,,,,,,,,,
Computation duration:,2832960000,ns,,,,,,,,,,,,
Total duration:,22928100000,ns,,,,,,,,,,,,
Computation duration:,3175970000,ns,,,,,,,,,,,,
Total duration:,20291100000,ns,,,,,,,,,,,,
Computation duration:,2934130000,ns,,,,,,,,,,,,
Total duration:,20923800000,ns,,,,,,,,,,,,
Computation duration:,3177660000,ns,,,,,,,,,,,,
Total duration:,18112900000,ns,,,,,,,,,,,,
Computation duration:,3110610000,ns,,,,,,,,,,,,
Total duration:,23188000000,ns,,,,,,,,,,,,
Computation duration:,3007630000,ns,,,,,,,,,,,,
Total duration:,20909900000,ns,,,,,,,,,,,,
Computation duration:,3134410000,ns,,,,,,,,,,,,
Total duration:,20561100000,ns,,,,,,,,,,,,
N,1000,nodes,16,,,,,,,,,,,
Computation duration:,20917700000,ns,,19503330000,59072340000,39569010000,,,,,,,,
Total duration:,60051600000,ns,,,,,,,,,,,,
Computation duration:,20541700000,ns,,,,,,,,,,,,
Total duration:,60177200000,ns,,,,,,,,,,,,
Computation duration:,22420400000,ns,,,,,,,,,,,,
Total duration:,55631900000,ns,,,,,,,,,,,,
Computation duration:,21306700000,ns,,,,,,,,,,,,
Total duration:,74697200000,ns,,,,,,,,,,,,
Computation duration:,18447000000,ns,,,,,,,,,,,,
Total duration:,68103300000,ns,,,,,,,,,,,,
Computation duration:,22072500000,ns,,,,,,,,,,,,
Total duration:,62796000000,ns,,,,,,,,,,,,
Computation duration:,14184800000,ns,,,,,,,,,,,,
Total duration:,57052200000,ns,,,,,,,,,,,,
Computation duration:,19505800000,ns,,,,,,,,,,,,
Total duration:,51425900000,ns,,,,,,,,,,,,
Computation duration:,21744500000,ns,,,,,,,,,,,,
Total duration:,55629600000,ns,,,,,,,,,,,,
Computation duration:,13892200000,ns,,,,,,,,,,,,
Total duration:,45158500000,ns,,,,,,,,,,,,
